Codigo,Descripcion,Stock_Min_Definido,Stock_Max_Definido,Stock_Admin_Calculado,Total_en_Lotes,Diferencia_Fisica
ME05N00X006                   ,BANDEJA CARTON ARMABLE MAYONESA 175G,0.0,0.0,87178.47303,7824.70175,7824.70175
ME05N00X015                   ,BANDEJA ARMABLE SQUEEZE 240 G,0.0,0.0,,7387.0,7387.0
ME03D21X002                   ,ETIQUETA MERMELADA DE PARCHITA PREMIUM 250 G. MARCA LAS DELICIAS DE BELEN UNID.,0.0,0.0,11946.0,7376.8,7376.8
ME01N00X011                   ,ENVASE 200 G. PEAD MAYONESA UNID.,0.0,0.0,308033.0,7130.0,7130.0
PT01D01X014                   ,Las Delicias de Belén Mayonesa Premium Tradicional PET 910g,0.0,0.0,99564.0,7078.0,7078.0
ME05N00X007                   ,BANDEJA CARTON ARMABLE MAYONESA 3.3 KG,0.0,0.0,58422.61716,6532.69691,6532.69691
ME03D20X002                   ,ETIQUETA MERMELADA DE MORA PREMIUM 250 G. MARCA LAS DELICIAS DE BELEN UNID.,0.0,0.0,20014.0,6525.8,6525.8
ME05N00X014                   ,BANDEJA KETCHUP 198 G,0.0,0.0,2733.0,6167.0,6167.0
ST01D16X001                   ,MERMELADA DE FRESA A GRANEL POR KG,0.0,0.0,32549.795,6112.795,6112.795
PT02D01X028                   ,"Las Delicias de Belén Salsa a Base de Tomate Tradicional 3,85Kg",0.0,0.0,7492.0,6003.0,6003.0
ME04N00X015                   ,BOBINA PLASTICO TERMOENCOGIBLE 120 MICRAS GRANEL  1 KG,0.0,0.0,1392.06799,5712.63201,5712.63201
ME01N00X008                   ,ENVASE 500 G. PEAD MAYONESA UNID.,0.0,0.0,339644.0,4684.0,4684.0
ME04N00X001                   ,BOBINA PLASTICO TEROENCOGIBLE 90 MICRAS GRANEL  1 KG,0.0,0.0,10377.02062,4597.35075,4597.35075
ME05N00X013                   ,BANDEJA KETCHUP 397 G,0.0,0.0,5163.0,4370.0,4370.0
ME03D15X002                   ,ETIQUETA MERMELADA DE PIMENTON PICANTE PREMIUM 250 G. MARCA LAS DELICIAS DE BELEN UNID.,0.0,0.0,10384.0,3526.0,3526.0
ME03D24X003                   ,ETIQUETA MERMELADA DE DURAZNO PREMIUM 250 G. MARCA LAS DELICIAS DE BELEN UNID.,0.0,0.0,23842.0,3472.16,3472.16
MP04N00X022                   ,GOMA XANTHAM KG,0.0,0.0,4731.54442,3395.07954,3395.07954
PT01P01X011                   ,PIPITA Mayonesa Tradicional PEAD 3.3 kg,0.0,0.0,196396.0,3178.0,3178.0
ME05N00X010                   ,BANDEJA CARTON ARMABLE MAYONESA ENVASE CILINDRICO 445G DELICIAS DE BELEN,0.0,0.0,17686.15224,2894.87002,2894.87002
ME03D23X002                   ,ETIQUETA MERMELADA DE NARANJA PREMIUM 250 G. MARCA LAS DELICIAS DE BELEN UNID.,0.0,0.0,12513.0,2645.66,2645.66
ME03D17X002                   ,ETIQUETA MERMELADA DE PIÑA PREMIUM 250 G. MARCA LAS DELICIAS DE BELEN UNID.,0.0,0.0,11704.0,2596.0,2596.0
ME03D10X002                   ,ETIQUETA MERMELADA LECHOSA Y PIÑA PREMIUM 250 G. MARCA LAS DELICIAS DE BELEN UNID.,0.0,0.0,15612.0,2503.0,2503.0
ME02N00X007                   ,TAPA SALSAS FLIT TOP 38 MM CON LINER PEAD UNID.,0.0,0.0,2500.0,2500.0,2500.0
ME02N00X016                   ,TAPA FLIPTOP SQUEEZE 200 G 33 MM (NEGRA DDB) UNID.,0.0,0.0,2500.0,2500.0,2500.0
ME03D14X002                   ,ETIQUETA MERMELADA DE PIÑA RAYADA PICANTE PREMIUM 250 G. MARCA LAS DELICIAS DE BELEN UNID.,0.0,0.0,8350.0,2475.0,2475.0
MP01N00X102                   ,PULPA DE MANGO  KG,0.0,0.0,8720.82,2451.42,2451.42
PT01D01X011                   ,Las Delicias de Belén Mayonesa Premium Tradicional PET 3.3 Kg,0.0,0.0,37281.0,2144.0,2144.0
ME04N00X018                   ,BOBINA TEROENCOGIBLE 100 MICRAS 60CM,0.0,0.0,214.0,2040.0,2040.0
MP01N00X152                   ,YEMA DE HUEVO LIQUIDA KG,0.0,0.0,102379.88086,2012.4412,2012.4412
ME03D24X002                   ,ETIQUETA MERMELADA DE PIMENTON PREMIUM 250 G. MARCA LAS DELICIAS DE BELEN UNID.,0.0,0.0,13297.0,2009.6,2009.6
ME01N00X007                   ,ENVASE 500 G. PET MAYONESA UNID.,0.0,0.0,195276.0,2009.0,2009.0
ST01D18X001                   ,MERMELADA GUAYABA A GRANEL POR KG,0.0,0.0,19074.482,1969.082,1969.082
MP01N00X093                   ,PULPA DE GUAYABA 7-9 °BRIX  KG,0.0,0.0,13150.895,1804.685,1804.685
ST01D44X001                   ,MERMELADA DE DURAZNO A GRANEL POR KG,0.0,0.0,9245.54,1783.81,1783.81
ME01N00X010                   ,ENVASE 200 G. PET MAYONESA UNID.,0.0,0.0,80487.0,1601.0,1601.0
ST01D23X001                   ,MERMELADA DE NARANJA A GRANEL POR KG,0.0,0.0,4986.4,1595.3,1595.3
ME03D11X002                   ,ETIQUETA MERMELADA DE CEBOLLA Y UVAS PASAS PREMIUM 250 G. MARCA LAS DELICIAS DE BELEN UNID.,0.0,0.0,16098.0,1499.0,1499.0
ST01D20X001                   ,MERMELADA DE MORA A GRANEL POR KG,0.0,0.0,8404.82,1478.82,1478.82
ME04N00X019                   ,BOBINA TEROENCOGIBLE 100 MICRAS 50CM,0.0,0.0,342.6,1429.4,1429.4
MP03N00X001                   ,SABOR KETCHUP,0.0,0.0,502.21,1300.0,1300.0
MP01N00X042                   ,PARCHITA KG,0.0,0.0,11657.20255,1291.20085,1291.20085
ST01D21X001                   ,MERMELADA DE PARCHITA A GRANEL POR KG,0.0,0.0,4849.1,1261.6,1261.6
PT01P01X016                   ,PIPITA Mayonesa Tradicional Sachet 200g,0.0,0.0,6200.0,1150.0,1150.0
MP01N00X138                   ,LECHOZA VERDE RAYADA KG,0.0,0.0,3445.4544,1102.821,1102.821
PT04D44X001                   ,Delicias de Belén Mermelada Varietal Durazno 250g,0.0,0.0,18777.0,1058.0,1058.0
ME02N00X019                   ,TAPA ENVASE 70 MM METALICA MERMELADA (DORADA) UNID.,0.0,0.0,4880.0,1000.0,1000.0
MP01N00X036                   ,FRESA KG,0.0,0.0,12270.49454,934.3,934.3
MP04N00X020                   ,ACIDO ETILENDIAMINOTETRAACETICO (EDTA) KG,0.0,0.0,1625.78658,880.8404,880.8404
ST01D43X001                   ,MERMELADA DE PIMENTÓN A GRANEL POR KG,0.0,0.0,4463.25,854.75,854.75
PT04D16X001                   ,Delicias de Belén Mermelada Varietal Fresa 250g,0.0,0.0,65949.0,838.0,838.0
MP01N00X135                   ,PIÑA RAYADA FRUTA VERDE  KG,0.0,0.0,8241.719,813.759,813.759
MP01N00X114                   ,PIMENTON ROJO LICUADO SIN SEMILLAS  KG,0.0,0.0,7645.68552,811.86452,811.86452
ME03D13X002                   ,ETIQUETA MERMELADA DE AUYAMA Y NARANJA PREMIUM 250 G. MARCA LAS DELICIAS DE BELEN UNID.,0.0,0.0,11381.0,784.0,784.0
MP01N00X156                   ,SABOR ROMERO,0.0,0.0,446.45425,778.15903,778.15903
ST01D15X001                   ,MERMELADA PIMENTÓN PICANTE A GRANEL POR KG,0.0,0.0,3051.36,771.84,771.84
MP01N00X030                   ,PIÑA ENTERA  KG,0.0,0.0,9174.00153,759.60051,759.60051
ST01D45X001                   ,"MERMELADA DE AUYAMA, NARANJA Y JENGIBRE A GRANEL POR KG",0.0,0.0,4199.03,739.55,739.55
ME01N00X027                   ,ENVASE PET 200 G. PARA SQUEEZE UNID.,0.0,0.0,5577.0,723.0,723.0
ME01N00X042                   ,CAJA MAYONESA  SASCHET 200 GR,0.0,0.0,498.35533,691.00467,691.00467
MP01N00X090                   ,PULPA DE FRESA CON SEMILLAS 5-8 °BRIX  KG,0.0,0.0,22437.0819,658.4213,658.4213
MP04N00X021                   ,ACIDO CITRICO KG,0.0,0.0,382.36072,633.30708,633.30708
ST01D17X001                   ,MERMELADA PIÑA A GRANEL POR KG,0.0,0.0,4096.746,629.746,629.746
PT04D21X001                   ,Delicias de Belén Mermelada Varietal Parchita 250g,0.0,0.0,11469.0,627.0,627.0
ME03D10X001                   ,ETIQUETA MERMELADA LECHOSA Y PIÑA PREMIUM  200 G. MARCA LAS DELICIAS DE BELEN UNID.,0.0,0.0,2873.0,619.0,619.0
MP01N00X087                   ,PULPA DE DURAZNO 9-10 °BRIX  KG,0.0,0.0,6596.82,604.7,604.7
ME03D18X001                   ,ETIQUETA MERMELADA DE GUAYABA PREMIUM 200 G. MARCA LAS DELICIAS DE BELEN UNID.,0.0,0.0,2063.0,575.0,575.0
PT04D45X001                   ,"Delicias de Belén Mermelada Auyama, Naranja y Jengibre 250g",0.0,0.0,9468.0,549.0,549.0
MP01N00X120                   ,PULPA DE AUYAMA  KG,0.0,0.0,3905.6199,545.5159,545.5159
PT04D42X001                   ,Delicias de Belén Mermelada Lechosa con piña 250g,0.0,0.0,16383.0,485.0,485.0
ST01D42X001                   ,MERMELADA DE LECHOSA CON PIÑA A GRANEL POR KG,0.0,0.0,3190.25,479.75,479.75
ME03D22X002                   ,ETIQUETA MERMELADA DE MANGO PREMIUM 250 G. MARCA LAS DELICIAS DE BELEN UNID.,0.0,0.0,18602.0,466.0,466.0
MP01N00X048                   ,NARANJA  KG,0.0,0.0,8865.58429,440.38143,440.38143
PT04D18X001                   ,Delicias de Belén Mermelada Varietal Guayaba 250g,0.0,0.0,48000.0,439.0,439.0
ME01N00X044                   ,ENVASE PET 520 CC MAYONESA BOLSA X 161,0.0,0.0,84308.0,433.0,433.0
ME03D20X001                   ,ETIQUETA MERMELADA DE MORA PREMIUM 200 G. MARCA LAS DELICIAS DE BELEN UNID.,0.0,0.0,120.0,420.0,420.0
MP01N00X129                   ,CEBOLLA RAYADA KG,0.0,0.0,2443.0975,401.18,401.18
PT04D46X001                   ,Delicias de Belén Mermelada Cebolla con uvas pasas 250g,0.0,0.0,6676.0,397.0,397.0
MP04N00X013                   ,PECTINA RAPIDA KG,0.0,0.0,406.02185,369.20095,369.20095
PT01D36X001                   ,Delicias de Belén Mermelada Mora 200g,0.0,0.0,343.0,295.0,295.0
ST01D14X001                   ,MERMELADA PIÑA PICANTE A GRANEL POR KG,0.0,0.0,2091.25,294.75,294.75
ST01D46X001                   ,MERMELADA DE CEBOLLA CON UVAS PASAS A GRANEL POR KG,0.0,0.0,1734.0,266.0,266.0
PT04D15X001                   ,Delicias de Belén Mermelada Pimentón picante 250g,0.0,0.0,8654.0,265.0,265.0
ME04N00X012                   ,BOBINA BILAMINADA SACHET 200 G. PIPITA,0.0,0.0,173.91788,253.21788,253.21788
MP04N00X023                   ,ERITORBATO DE SODIO (KGS),0.0,0.0,125.09931,240.88929,240.88929
PT01D33X001                   ,Delicias de Belén Mermelada Fresa 200g,0.0,0.0,1038.0,210.0,210.0
MP01N00X108                   ,JUGO DE NARANJA KG,0.0,0.0,5201.45375,209.95375,209.95375
MP04N00X014                   ,ANTIESPUMANTE KG,0.0,0.0,132.63069,204.30527,204.30527
MP04N00X006                   ,ALMIDON MODIFICADO 8916 KG,0.0,0.0,527.76,199.0,199.0
MP01N00X126                   ,PULPA DE MORA CON SEMILLAS 5-8 °BRIX  KG,0.0,0.0,6380.148,176.86,176.86
ST01D22X001                   ,MERMELADA DE MANGO A GRANEL POR KG,0.0,0.0,1499.5,172.5,172.5
PT01D42X001                   ,Delicias de Belén Mermelada Lechosa con Piña 200g,0.0,0.0,890.0,172.0,172.0
PT04D20X001                   ,Delicias de Belén Mermelada Varietal Mora 250g,0.0,0.0,18312.0,157.0,157.0
ME03D16X001                   ,ETIQUETA MERMELADA DE FRESA PREMIUM 200 G. MARCA LAS DELICIAS DE BELEN UNID.,0.0,0.0,680.0,151.0,151.0
PT04D22X001                   ,Delicias de Belén Mermelada Varietal Mango 250g,0.0,0.0,8533.0,147.0,147.0
PT04D23X001                   ,Delicias de Belén Mermelada Varietal Naranja 250g,0.0,0.0,11413.0,142.0,142.0
PT04D14X001                   ,Delicias de Belén Mermelada Piña picante 250g,0.0,0.0,7052.0,117.0,117.0
ME03D14X001                   ,ETIQUETA MERMELADA DE PIÑA RAYADA PICANTE PREMIUM 200 G. MARCA LAS DELICIAS DE BELEN UNID.,0.0,0.0,212.0,112.0,112.0
